provider,doc_time,time_date,title,link,desc
RT на русском,11 марта в 13:10,11 марта,Экс-наставник «Нефтехимика» раскритиковал Бучневича и Панарина,https://russian.rt.com/sport/news/609977-nazarov-kritika-panarin-buchnevich,"Он также подверг критике комментарий Панарина, высказавшегося о законопроекте об автономной работе интернета в России."
News.ru,11 марта в 11:45,11 марта,Панарин высказался об изоляции российского Интернета,https://news.ru/sport/panarin-vyskazalsya-ob-izolyacii-rossijskogo-interneta/,В феврале Госдума одобрила законопроект об автономной работе Интернета в России. Законопроект позволяет властям при необходимости отключить «внешний Интернет» и...
Чемпионат,11 марта в 10:55,11 марта,Панарин — об изоляции рунета: как можно настолько бояться собственных граждан?,https://www.championat.com/hockey/news-3699797-panarin--ob-izoljacii-runeta-kak-mozhno-nastolko-bojatsja-sobstvennyh-grazhdan.html,В середине февраля Госдума одобрила законопроект об автономной работе интернета в России.
NEWSru.com,11 марта в 12:13,11 марта,Артемий Панарин заинтересовался возможной изоляцией интернета в России,https://www.newsru.com/sport/11mar2019/panarin.html,"В середине февраля Госдума одобрила законопроект об автономной работе интернета в России. Законопроект позволяет властям при необходимости отключить ""внешний интернет"" и..."
Коммерсантъ FM,11 марта в 10:52,11 марта,«Возможностей наказания у нового руководителя более чем достаточно»,https://www.kommersant.ru/doc/3907649,"Например, в законе о так называемом автономном интернете не очень понятно, кто определяет..."
Спорт день за днем,11 марта в 09:55,11 марта,«Как можно настолько бояться собственных граждан… куда катимся?» Панарин поддержал участников митинга против «суверенного интернета»,https://www.sportsdaily.ru/news/kak-mozhno-nastolko-boyatsya-sobstvennyx-grazhdan-kuda-katimsya-panarin-podderzhal-uchastnikov-mitinga-protiv-suverennogo-interneta,"МВД же насчитали всего 6,5 тысяч участников. 12 февраля Госдума одобрила в первом чтении Законопроект об автономной работе интернета в России..."
Кавказ.Реалии,11 марта в 09:26,11 марта,«Против этого безумия»,https://www.kavkazr.com/a/29814364.html,"По оценке Клишаса, на реализацию законопроекта по созданию в России автономного интернета будет потрачено 20 миллиардов рублей."
Спорт-Экспресс,11 марта в 11:06,11 марта,"Артемий Панарин : ""Как можно настолько бояться собственных граждан? Куда катимся?""",https://www.sport-express.ru/hockey/nhl/news/artemiy-panarin-kak-mozhno-nastolko-boyatsya-sobstvennyh-grazhdan-kuda-katimsya-1521841/,В феврале Госдума одобрила законопроект об автономной работе интернета в России. Он позволяет властям в случае необходимости отключить доступ во всемирную сеть...
Sport24.ru,11 марта в 08:58,11 марта,«Как можно настолько бояться собственных граждан?». Панарин в шоке от возможной изоляции рунета,https://sport24.ru/news/hockey/2019-03-11-kak-mozhno-nastolko-boyatsya-sobstvennykh-grazhdan-panarin-v-shoke-ot-vozmozhnoy-izolyatsii-runeta,Куда катимся?» — написал Панарин. 12 февраля Госдума одобрила в первом чтении законопроект об автономной работе интернета в России.
PROСПОРТ Казахстан,11 марта в 09:55,11 марта,Как можно настолько бояться собственных граждан? - Панарин в шоке от возможной изоляции рунета,https://prosports.kz/news/314781,Куда катимся?» — написал Панарин. 12 февраля Госдума одобрила в первом чтении законопроект об автономной работе интернета в России.
Vласть,11 марта в 05:32,11 марта,Мир за ночь 10-11 марта 2019 года,https://vlast.kz/novosti/32086-mir-za-noc-10-11-marta-2019-goda.html,12 февраля Госдума одобрила в первом чтении законопроект об автономной работе интернета в России. Документ регламентирует маршрутизацию интернет-трафика таким образом...
NewTimes.kz,11 марта в 06:00,11 марта,В Москве прошел митинг против «суверенного интернета»,https://newtimes.kz/mir/87164-v-moskve-proshel-miting-protiv-suverennogo-interneta,12 февраля Госдума одобрила в первом чтении законопроект об автономной работе интернета в России. Поправки к законам «О связи» и «Об информации...
Красная весна,10 марта в 22:56,10 марта,Призрак суверенитета или изоляция интернета? Анатомия столичного митинга,https://rossaprimavera.ru/news/2d4efc09,...целью которого является оценка возможностей российской автономной интернет-структуры.
Новая газета,10 марта в 22:04,10 марта,"«Они ломают наш интернет». В Москве прошел крупнейший за последнее время оппозиционный митинг: репортаж, фото, видео",https://www.novayagazeta.ru/articles/2019/03/10/79816-oni-lomayut-nash-internet,"Еще один Сергей Бойко — из «Общества защиты интернета». Фото: Антон Карлинер, специально для «Новой» Согласно законопроекту об автономном интернете..."
7х7,10 марта в 21:28,10 марта,Костромские активисты молодежного движения «Весна» провели пикет против ограничения свободы интернета,https://7x7-journal.ru/anewsitem/118372,— Нас не устраивает автономный интернет.
